loss,Accuracy,F1-Score
1.348886653,0.454720792,0.445994285
1.27603482,0.499708613,0.499260694
1.345817063,0.481286768,0.475141651
1.508326123,0.386968101,0.38688375
1.426057515,0.436764892,0.43329304
1.263095443,0.526834008,0.526713957
1.380543849,0.460929904,0.455600659
1.366409226,0.51341805,0.496284796
1.425011106,0.439376125,0.440177685
1.4382393,0.43147188,0.429843315
1.210087396,0.550824465,0.544698671
1.398123216,0.410845154,0.398767264
1.36742103,0.518090886,0.503613093
1.293942123,0.498543859,0.46807302
1.526844524,0.392194076,0.388438179
1.313620502,0.462960544,0.455296785
1.39603289,0.458690477,0.452958169
1.305355104,0.496676722,0.497657344
1.411984563,0.430361442,0.425585527
1.434340352,0.420169851,0.417608281
1.307745015,0.534348728,0.515243981
1.521137398,0.368686209,0.359536746
1.473812301,0.46335344,0.444287778
1.352283721,0.457630495,0.446021985
1.396760331,0.402277811,0.390967067
1.421965769,0.415413481,0.391202069
1.346138504,0.449437532,0.436600573
1.280863179,0.525551017,0.521682812
1.243949437,0.510657204,0.495385147
1.187131373,0.564771015,0.549243425
1.403302849,0.406003648,0.39743856
1.480294384,0.377019839,0.372443388
1.412744489,0.437944472,0.422062901
1.374063871,0.438437402,0.430686708
1.312195698,0.529206502,0.50902047
1.42868196,0.401364489,0.398460715
1.335190769,0.484005828,0.463813973
1.419494408,0.432226985,0.414104713
1.329188096,0.466023788,0.450538825
1.323334315,0.447918781,0.442253818
1.262378182,0.502438338,0.496822616
1.402099705,0.438362195,0.428200698
1.325893802,0.487613022,0.48164977
1.192944326,0.590740388,0.579226366
1.452048412,0.425313826,0.412941683
1.314567363,0.476698065,0.453058644
1.426899769,0.402104502,0.402532373
1.248459123,0.549213962,0.540667263
1.298321674,0.499221175,0.487282841
1.411647561,0.435076918,0.423397415
1.26928978,0.51336287,0.509050469
1.384483474,0.455438028,0.439052921
1.288510922,0.496133617,0.486528904
1.309438101,0.482211107,0.473414522
1.371782757,0.467397952,0.462514939
1.283145443,0.506782475,0.503518863
1.316529083,0.484385856,0.478171187
1.314453338,0.49376178,0.493404921
1.325458892,0.447081914,0.436260923
1.292410339,0.529377833,0.514542274
1.493004849,0.386956961,0.379471225
1.271240369,0.498768646,0.485102807
1.405639583,0.410877076,0.416420114
1.371016143,0.437878655,0.410146712
1.151841437,0.574340998,0.566569559
1.406742742,0.439329186,0.427056977
1.508079282,0.343407589,0.33261746
1.369118547,0.456021341,0.448324808
1.331395616,0.474065815,0.466299728
1.399325041,0.417414618,0.404745265
1.463762092,0.37866946,0.381464592
1.397046734,0.475420961,0.468506339
1.136342991,0.607901519,0.60135208
1.341658334,0.465060591,0.45278436
1.226923911,0.555696187,0.543039512
1.257218816,0.53725707,0.52490367
1.341569711,0.474367014,0.467275068
1.304894032,0.504749265,0.500481378
1.392013921,0.43013301,0.423958787
1.478522574,0.36775369,0.361518813
1.432358324,0.425032485,0.421120742
1.332504727,0.516163772,0.515613997
1.351058661,0.490272984,0.474689605
1.275494699,0.509024688,0.512133241
1.367723928,0.47573741,0.465953064
1.29663319,0.483205751,0.467729545
1.385236598,0.436946259,0.422882119
1.403968421,0.4414805,0.430540228
1.433932189,0.396955642,0.389369308
1.414191819,0.474917291,0.464761544
1.32922069,0.503595285,0.495363023
1.317612514,0.496931449,0.499502074
1.452485725,0.433149294,0.43000964
1.379143008,0.393457932,0.377298989
1.436628171,0.376553081,0.374808422
1.42030951,0.417944945,0.409535517
1.399838108,0.401955128,0.381498646
1.213885592,0.549931288,0.527976516
1.54512599,0.368530323,0.370465953
1.262283926,0.543162157,0.539878326
1.219715839,0.538882724,0.532603117
1.286774785,0.502356644,0.510187312
1.336691952,0.447834826,0.444604439
1.391211866,0.428776154,0.420077327
1.222345791,0.523949295,0.516236746
1.426085949,0.446095343,0.446045297
1.389236121,0.457559646,0.437362831
1.465854987,0.400864984,0.409431561
1.282846762,0.509087468,0.490459827
1.292538379,0.488849011,0.468300532
1.393938914,0.424706323,0.410546987
1.325579027,0.489814746,0.487901169
1.372500395,0.472061839,0.468458388
1.312967983,0.493008134,0.474181423
1.364801221,0.46140404,0.451535166
1.363673558,0.463266018,0.461853869
1.250505526,0.548720699,0.534063325
1.432755435,0.418711288,0.412028011
1.425980281,0.482223775,0.471560234
1.290018384,0.490855293,0.483283219
1.320950127,0.503743988,0.498502572
1.455563776,0.416293448,0.395894434
1.291927647,0.472585987,0.463408157
1.285505151,0.503314828,0.496882991
1.278172769,0.529478789,0.518932546
1.397275101,0.447729154,0.440193141
1.337843599,0.481883518,0.470835318
1.358967211,0.479450102,0.461558693
1.286791581,0.505257653,0.486222668
1.346250655,0.483392729,0.467439648
1.295929223,0.490292258,0.495684722
1.397758058,0.412990962,0.399127245
1.409558026,0.39496432,0.386530865
1.336043855,0.481564996,0.469365426
1.285151772,0.501300216,0.487468002
1.299664358,0.510153559,0.500346097
1.384511164,0.415068322,0.400367085
1.414159299,0.484278454,0.470318942
1.305278876,0.533842922,0.52937591
1.402176559,0.451313865,0.445920393
1.404268477,0.460099334,0.452155436
1.328823058,0.467037838,0.454962052
1.270122904,0.518033429,0.510579557
1.376490887,0.413693892,0.399352339
1.253952904,0.552929558,0.543097174
1.296811149,0.526710963,0.506711934
1.360206904,0.473087286,0.468855107
1.206444285,0.52600112,0.522571011
1.274119671,0.537257093,0.515522789
1.425536783,0.412424786,0.403515127
1.23562232,0.501474613,0.497939497
1.257235602,0.504278236,0.48663173
1.388621736,0.42862745,0.425538074
1.422170272,0.391738828,0.391957465
1.297916262,0.535228182,0.52880338
1.23472182,0.525715226,0.495218754
1.300447367,0.496743111,0.476352166
1.257879644,0.48579825,0.458081787
1.357030673,0.488999611,0.487474291
1.349931234,0.454745574,0.445827416
1.267779682,0.493169846,0.491776732
1.445164574,0.392145002,0.389804385
1.298617574,0.528500599,0.517728198
1.389128609,0.449340905,0.455678953
1.252357453,0.538329385,0.526252632
1.372953605,0.435101838,0.431326887
1.434320434,0.430600814,0.422218653
1.348557085,0.480805938,0.465348681
1.324289499,0.50311906,0.494503687
1.360954638,0.488829473,0.48051946
1.315894831,0.47909133,0.470502778
1.447868333,0.419381478,0.401426369
1.279489131,0.518978921,0.519703158
1.365497876,0.480943669,0.482792939
1.24638122,0.534379727,0.528324353
1.37513447,0.449809807,0.446246093
1.260107506,0.528342088,0.526507811
1.339932153,0.468319527,0.443577854
1.265458979,0.53300773,0.525483371
1.19465556,0.591223028,0.580492696
1.35584055,0.486353915,0.475350804
1.381944419,0.474877912,0.475720695
1.235313871,0.565576728,0.55639537
1.512640027,0.387532982,0.376495174
1.432946484,0.414236842,0.402637137
1.248637376,0.527171408,0.517737243
1.235673019,0.52186522,0.507772482
1.450715472,0.435048262,0.429116983
1.271068189,0.508211849,0.497258639
1.379083526,0.477200949,0.470072043
1.234571022,0.520432329,0.517904799
1.473665859,0.431418399,0.427891578
1.444268743,0.392125431,0.38548972
1.203048222,0.545834425,0.546061471
1.372390076,0.468945636,0.461135312
1.398808372,0.407237842,0.401164634
1.270788158,0.483534143,0.467694835
1.390596562,0.463895455,0.454178952
1.246615454,0.529606961,0.530877497
1.406123364,0.425219752,0.412413734
1.365863705,0.464092896,0.457296199
1.348210157,0.421703066,0.427588864
1.228170355,0.529262633,0.518266714
1.52387943,0.361929694,0.350883388
1.230161059,0.514761553,0.491771833
1.274804626,0.513475291,0.507260933
1.359453892,0.461414154,0.45066366
1.153008432,0.595837161,0.58192091
1.543331382,0.384106136,0.381971555
1.352203501,0.462224431,0.453500101
1.157486119,0.574661273,0.570417191
1.388130669,0.493667037,0.490233348
1.264468118,0.539080972,0.526775211
1.316930517,0.464827789,0.463586431
1.39479076,0.440808011,0.436516577
1.440715442,0.386840861,0.386120382
1.433469986,0.431613056,0.416047493
1.26552012,0.529994728,0.519330934
1.426820156,0.42575272,0.404367618
1.39324346,0.395952785,0.399526451
1.40777915,0.443790938,0.433914421
1.315374846,0.468459752,0.462411696
1.425458078,0.38810365,0.374780004
1.377453512,0.456658593,0.448347358
1.415991824,0.385835239,0.376201742
1.381936742,0.47363745,0.472260894
1.22369248,0.542261813,0.541420208
1.430472357,0.444140438,0.422350364
1.311967958,0.431496358,0.408724363
1.4019883,0.466147245,0.460944815
1.186127585,0.56875071,0.564889456
1.306126872,0.492660903,0.481564765
1.500956598,0.319891472,0.315355615
1.424781181,0.42009057,0.415132777
1.283875442,0.518301386,0.518592828
1.258877562,0.545869797,0.533308833
1.353543918,0.406425803,0.39727449
1.450086938,0.400978747,0.399589822
1.343324158,0.428632716,0.413521451
1.235986386,0.513501984,0.506086493
1.409664695,0.500900356,0.489974528
1.419361753,0.418785303,0.414048967
1.320520573,0.460134841,0.448521816
1.365126761,0.487032232,0.471736392
1.315257708,0.458939074,0.453248685
1.200821822,0.563120271,0.558136295
1.39539358,0.427318357,0.415936324
1.35548211,0.458590719,0.44944931
1.123838189,0.602620246,0.592944988
1.457351643,0.415648443,0.403896902
1.287040486,0.465473492,0.456741063
1.293530121,0.477475542,0.481625782
1.520724017,0.369740015,0.355092435
1.314734461,0.431962094,0.411308947
1.319430116,0.52031711,0.521085921
1.392792867,0.443567856,0.448637384
1.336718197,0.501091278,0.496519737
1.236787028,0.552496115,0.532286888
1.415875788,0.44101883,0.440360663
1.392210446,0.452692016,0.442809918
1.468083878,0.451633627,0.450616403
1.358025094,0.463124631,0.455033007
1.302460067,0.486611498,0.488269885
1.224282773,0.55510672,0.538634283
1.405486457,0.421184202,0.40858889
1.374590186,0.446134374,0.435851308
1.129299814,0.562415608,0.550927461
1.426900178,0.464879771,0.454947084
1.235366101,0.522118192,0.517877181
1.224813208,0.559190736,0.555784807
1.255299196,0.533473207,0.511605419
1.387142064,0.44220475,0.447922385
1.290227251,0.520434476,0.51728669
1.483781341,0.353682811,0.34693105
1.247224439,0.533925633,0.523809975
1.275191493,0.506950207,0.500967525
1.278688926,0.480351714,0.460019226
1.412757322,0.445147753,0.42828264
1.322222919,0.45496065,0.446722193
1.230362763,0.520215413,0.517780181
1.412931776,0.448351855,0.443220621
1.137502318,0.538998102,0.538625677
1.319637634,0.467332035,0.474228723
1.341450972,0.499949726,0.488817672
1.242625782,0.543661946,0.535341726
1.267026674,0.510086321,0.507683224
1.362099282,0.420086288,0.404522251
1.216769934,0.582444533,0.578176719
1.320623492,0.451600106,0.443909628
1.480508378,0.414820362,0.389041421
1.155215256,0.535770013,0.534459235
1.147220029,0.601071518,0.600273521
1.275675843,0.548548396,0.534988033
1.365377486,0.473143989,0.466904822
1.275885768,0.489687322,0.486925984
1.281553519,0.499200908,0.485447255
1.530117179,0.387886417,0.37342537
1.366175703,0.507929817,0.491073737
1.187006695,0.567862124,0.556918422
1.192790495,0.556930044,0.557549806
1.310395672,0.501418995,0.49229704
1.363820664,0.48047779,0.472257635
1.36711149,0.438568303,0.432086191
1.330340527,0.488402137,0.474638275
1.310436641,0.460830022,0.459792929
1.254274436,0.525241454,0.516197575
1.301738134,0.496322487,0.476029745
1.42203319,0.438614557,0.433906094
1.378855614,0.467469997,0.465875599
1.34666381,0.439185009,0.437669461
1.314638943,0.470571985,0.467740494
1.402124882,0.443131537,0.439319673
1.402880674,0.428934646,0.4222918
1.337567639,0.474344306,0.451081152
1.442273254,0.409197017,0.401855562
1.266385915,0.55261518,0.545751447
1.221348266,0.544923064,0.536851096
1.394632672,0.439307409,0.437682335
1.46510877,0.434290711,0.431365512
1.369286707,0.460657695,0.458163693
1.451617723,0.404410995,0.39859693
1.323225309,0.484383067,0.475048156
