loss,Accuracy,F1-Score
1.328828731,0.482645809,0.463604243
1.417080374,0.452230954,0.437234544
1.35683724,0.481912799,0.473360272
1.485135258,0.384358247,0.36852142
1.403232074,0.425181529,0.403631168
1.359496833,0.493559899,0.478112111
1.318380892,0.498518659,0.472965932
1.558437041,0.326411984,0.322030092
1.461961573,0.383905544,0.362777211
1.389568815,0.430933007,0.416608886
1.420884651,0.460697108,0.453934623
1.495626834,0.330043445,0.327829332
1.342089988,0.451924452,0.437946571
1.402711663,0.424451831,0.399345733
1.388776862,0.466513551,0.449943815
1.470411423,0.379825455,0.366563071
1.36830487,0.44399071,0.43018986
1.40687753,0.438373009,0.429511073
1.336500523,0.480576653,0.46123696
1.469231725,0.415809581,0.409398129
1.433293751,0.419272263,0.408844887
1.521635056,0.368499004,0.354129908
1.214369306,0.604404513,0.589643701
1.350124137,0.474374374,0.469154901
1.384678913,0.485754836,0.474347506
1.425352423,0.415312294,0.408732909
1.364710728,0.476412994,0.463332025
1.509760723,0.388812312,0.365260905
1.339856842,0.512377033,0.495479508
1.266815554,0.515044657,0.511114893
1.380485115,0.463310622,0.434655263
1.480191306,0.360706828,0.357715801
1.299679664,0.49995465,0.484279046
1.391810201,0.425328825,0.411836115
1.402615313,0.453196927,0.446957385
1.376340603,0.470796543,0.434722288
1.507674933,0.369714793,0.355104327
1.306097584,0.435717897,0.411442372
1.50165471,0.395962261,0.372460518
1.438252104,0.423446537,0.40485229
1.357569686,0.448796678,0.438245165
1.356601065,0.469184314,0.457168186
1.390518864,0.4177231,0.41552171
1.285710817,0.524860441,0.515460912
1.466338686,0.38806294,0.376686665
1.291956091,0.487690218,0.475466573
1.522462189,0.327615126,0.325900308
1.398907882,0.478830931,0.462007879
1.454320716,0.377456712,0.374470454
1.26750235,0.544324268,0.536379016
1.386447519,0.465161811,0.463661185
1.426869859,0.401841332,0.396594735
1.363173768,0.419678043,0.395769864
1.34949211,0.448094464,0.437264835
1.443280924,0.401651823,0.390072726
1.496219413,0.422004393,0.411224057
1.563171952,0.356059967,0.344099157
1.489369814,0.391243619,0.375526277
1.412289776,0.425794384,0.417312663
1.478109046,0.355261996,0.34035888
1.29287062,0.470669347,0.459669646
1.389207122,0.430996951,0.4247519
1.247858394,0.522921015,0.515231964
1.402946483,0.443127837,0.433966105
1.358459073,0.456733042,0.449937124
1.465703133,0.426558967,0.407027082
1.455825842,0.402202742,0.393042909
1.40973169,0.406696942,0.395462839
1.42674901,0.447193023,0.445815258
1.319049937,0.459438074,0.445531171
1.388289608,0.466841473,0.453837807
1.446444332,0.41855297,0.40318272
1.293928188,0.518783795,0.506021171
1.335476181,0.462923862,0.459512756
1.39734585,0.432458324,0.427149801
1.312411855,0.508836735,0.499881534
1.512834322,0.378031355,0.374700001
1.463086768,0.403171148,0.396271944
1.376445589,0.436967423,0.430496806
1.437943669,0.399997738,0.37965297
1.398502784,0.383383881,0.365485886
1.393274675,0.456462723,0.459564557
1.418820252,0.440254812,0.426073126
1.529377019,0.403837003,0.388274567
1.269476552,0.49353249,0.4806698
1.332875912,0.488997157,0.474971659
1.392243521,0.455433412,0.442526375
1.414536262,0.405894284,0.388130411
1.35061266,0.481624549,0.472509493
1.54108391,0.366407098,0.359942648
1.521417632,0.384410761,0.370506211
1.454585405,0.348789147,0.346160443
1.309192244,0.493116734,0.486894327
1.416917148,0.399091493,0.379043526
1.431163646,0.440902289,0.431615381
1.400432004,0.446239368,0.449908565
1.384827099,0.433723089,0.407980146
1.395084789,0.460613183,0.452303963
1.436560601,0.399340681,0.388396274
1.247867591,0.506612033,0.49619987
1.575459096,0.37175737,0.351889261
1.437963727,0.391583353,0.379012926
1.424542955,0.4379967,0.421459664
1.50943654,0.382095792,0.364082678
1.438194653,0.42604103,0.420807952
1.429602395,0.470274643,0.447978065
1.481324687,0.38814849,0.383734497
